Time,MarkerID,Error,PID_Out(step_deg),Note
1754648548.9681973,heart,-0.25390999999999997,-4.217637195728168,tracking
1754648548.9993727,heart,-0.25468999999999997,-1.0562896207526824,tracking
1754648549.0302587,heart,-0.25468999999999997,-1.0187599999999999,tracking
1754648549.061796,heart,-0.25468999999999997,-1.0187599999999999,tracking
1754648549.093005,heart,-0.25468999999999997,-1.0187599999999999,tracking
1754648549.124759,heart,-0.25468999999999997,-1.0187599999999999,tracking
1754648549.156293,heart,-0.25468999999999997,-1.0187599999999999,tracking
1754648549.1874766,heart,-0.25468999999999997,-1.0187599999999999,tracking
1754648549.2187276,heart,-0.23047,0.24064452256705837,tracking
1754648549.2492394,heart,-0.22031,-0.38176202788022745,tracking
1754648549.2802823,heart,-0.22031,-0.88124,tracking
1754648549.3143227,heart,-0.21094000000000002,-0.4308688788031607,tracking
1754648549.342483,heart,-0.21094000000000002,-0.8437600000000001,tracking
1754648549.3741012,heart,-0.20625,-0.6025009905290449,tracking
1754648549.4052668,heart,-0.20625,-0.825,tracking
1754648549.4358838,heart,-0.20468999999999998,-0.7423318685220801,tracking
1754648549.4673207,heart,-0.20468999999999998,-0.8187599999999999,tracking
1754648549.4983697,heart,-0.19922,-0.5326203933071756,tracking
1754648549.5297797,heart,-0.19609,-0.6348852098403699,tracking
1754648549.560676,heart,-0.19609,-0.78436,tracking
1754648549.592287,heart,-0.18828,-0.3825207560375915,tracking
1754648549.6247356,heart,-0.18828,-0.75312,tracking
1754648549.6555545,heart,-0.18203000000000003,-0.42392393613071044,tracking
1754648549.6862562,heart,-0.18203000000000003,-0.7281200000000001,tracking
1754648549.717877,heart,-0.18047000000000002,-0.647877938881223,tracking
1754648549.7493525,heart,-0.175,-0.4393214234422564,tracking
1754648549.7801707,heart,-0.175,-0.7,tracking
1754648549.811521,heart,-0.16953000000000001,-0.4164006360794884,tracking
1754648549.8422298,heart,-0.16953000000000001,-0.6781200000000001,tracking
1754648549.8732493,heart,-0.16719,-0.5556051862726256,tracking
1754648549.9045038,heart,-0.16719,-0.66876,tracking
1754648549.9347382,heart,-0.16249999999999998,-0.41731753587988374,tracking
1754648549.965497,heart,-0.15937,-0.4848410417635586,tracking
1754648549.9965205,heart,-0.15937,-0.63748,tracking
1754648550.0283287,heart,-0.15469,-0.39806176159744466,tracking
1754648550.0603263,heart,-0.15000000000000002,-0.3801403147353376,tracking
1754648550.091026,heart,-0.15000000000000002,-0.6000000000000001,tracking
1754648550.121878,heart,-0.14844000000000002,-0.5179136347197104,tracking
1754648550.1524181,heart,-0.14844000000000002,-0.5937600000000001,tracking
1754648550.183678,heart,-0.14375,-0.3499503966807244,tracking
1754648550.2144454,heart,-0.14218999999999998,-0.49270557559977646,tracking
1754648550.2456563,heart,-0.14218999999999998,-0.5687599999999999,tracking
1754648550.27646,heart,-0.14218999999999998,-0.5687599999999999,tracking
1754648550.3080075,heart,-0.1375,-0.3270032599758176,tracking
1754648550.3393955,heart,-0.13516,-0.42881398242322466,tracking
1754648550.3715208,heart,-0.13202999999999998,-0.3819732073651311,tracking
1754648550.4012394,heart,-0.13202999999999998,-0.5281199999999999,tracking
1754648550.4315977,heart,-0.12891000000000002,-0.3614812439920859,tracking
